,neighborhood,price,bedrooms,bathrooms,house_size,description,neighborhood_description
0,Green Hills,750000.0,4,3.0,2500,"This stunning modern home in Green Hills features an open floor plan, high ceilings, and large windows that flood the space with natural light. The kitchen is equipped with stainless steel appliances and quartz countertops. The master suite boasts a luxurious bathroom with a soaking tub and walk-in shower. Enjoy the spacious backyard perfect for entertaining.","Green Hills is a highly sought-after neighborhood known for its upscale shops, restaurants, and top-rated schools. Residents enjoy easy access to parks, walking trails, and convenient transportation options."
1,Downtown,1200000.0,3,2.5,2000,"Live in luxury in this sleek downtown condo with panoramic city views. The interior features designer finishes, a gourmet kitchen with high-end appliances, and a private terrace. The building offers amenities such as a rooftop pool, fitness center, and concierge services.","Downtown is the heart of the city, offering a vibrant urban lifestyle with trendy restaurants, cultural attractions, and easy access to public transportation for a convenient commute."
2,Belle Meade,1500000.0,5,4.5,4000,"This exquisite estate in Belle Meade exudes elegance with its grand foyer, formal dining room, and custom millwork throughout. The gourmet kitchen features top-of-the-line appliances and a breakfast nook overlooking the lush backyard. The master suite includes a spa-like bathroom and a private balcony.","Belle Meade is a prestigious neighborhood known for its stately homes, tree-lined streets, and proximity to upscale shopping and dining destinations. The area offers a tranquil setting with easy access to major highways."
3,East Nashville,500000.0,2,2.0,1200,"Embrace the eclectic charm of East Nashville in this newly renovated bungalow. The home features an open concept living space, hardwood floors, and a gourmet kitchen with quartz countertops. Relax on the front porch or entertain in the spacious backyard.","East Nashville is a hip and diverse neighborhood known for its vibrant arts scene, unique boutiques, and locally-owned eateries. Residents enjoy a strong sense of community and easy access to parks and green spaces."
4,Sylvan Park,600000.0,3,2.5,1800,"This charming cottage in Sylvan Park offers a blend of modern updates and historic character. The home features a renovated kitchen, hardwood floors, and a cozy fireplace in the living room. The fenced backyard is perfect for outdoor gatherings.","Sylvan Park is a family-friendly neighborhood with tree-lined streets, parks, and a bustling commercial district with cafes, shops, and restaurants. The area provides a laid-back atmosphere with easy access to downtown Nashville."
5,Germantown,850000.0,4,3.0,2300,"Discover urban living at its finest in this contemporary townhome in Germantown. The home features a rooftop deck with skyline views, a gourmet kitchen with custom cabinetry, and a luxurious master suite with a spa-like bathroom. Enjoy the convenience of a two-car garage.","Germantown is a historic neighborhood with a mix of old-world charm and modern amenities. Residents appreciate the neighborhood's walkability, proximity to boutique shops and eateries, and easy access to green spaces and cultural venues."
6,12 South,700000.0,3,2.0,1600,"Live in the heart of the trendy 12 South neighborhood in this stylish bungalow. The home boasts a light-filled living area, a chef's kitchen with quartz countertops, and a covered porch for relaxing outdoors. The primary suite features a walk-in closet and a spa-like bathroom.","12 South is a popular neighborhood known for its boutique shopping, artisanal eateries, and vibrant street life. Residents enjoy a sense of community, proximity to Sevier Park, and easy access to coffee shops and entertainment venues."
7,Hillsboro Village,950000.0,4,3.5,2800,"Experience upscale living in this custom-built home in Hillsboro Village. The interior showcases high-end finishes, a gourmet kitchen with a large island, and a spacious living room with a fireplace. The primary suite offers a private balcony and a luxurious en-suite bathroom.","Hillsboro Village is a vibrant neighborhood with a mix of historic charm and modern amenities. Residents appreciate the area's eclectic shops, cozy cafes, and proximity to Vanderbilt University. Easy access to major highways and public transportation make commuting a breeze."
8,West End,1100000.0,5,4.0,3500,"This elegant home in West End features a grand foyer, formal dining room, and a chef's kitchen with premium appliances. The spacious family room is perfect for entertaining, while the backyard oasis offers a serene retreat. The primary suite boasts a sitting area and a spa-like bathroom.","West End is a prestigious neighborhood known for its historic homes, upscale dining options, and proximity to Centennial Park and the Parthenon. Residents enjoy a sophisticated urban lifestyle with easy access to cultural attractions and recreational activities."
9,Wedgewood-Houston,550000.0,3,2.5,1700,"Modern living awaits in this sleek townhome in Wedgewood-Houston. The home features an open concept layout, designer finishes, and a private rooftop deck with stunning views of the city skyline. The primary suite includes a walk-in closet and a spa-like bathroom.","Wedgewood-Houston is a rapidly growing neighborhood with a mix of residential and commercial development. Residents enjoy a creative and diverse community, proximity to art galleries and craft breweries, and easy access to downtown Nashville and major highways."
10,Willow Creek,450000.0,3,2.5,2100,"This charming home in Willow Creek features a modern open concept design with a spacious living area, gourmet kitchen, and a cozy backyard patio perfect for entertaining. Energy-efficient appliances and smart home features make this property both stylish and eco-friendly.","Willow Creek is a family-friendly neighborhood known for its top-rated schools, parks, and walking trails. Residents enjoy easy access to shopping centers, restaurants, and public transportation options."
11,Oak Ridge Estates,650000.0,4,3.0,3500,"Nestled in the prestigious Oak Ridge Estates, this luxurious home boasts high-end finishes, a grand foyer, and a private backyard oasis with a pool and spa. The property also features a home office, media room, and a three-car garage.","Oak Ridge Estates offers a tranquil setting with tree-lined streets and upscale homes. The neighborhood is close to golf courses, country clubs, and upscale dining options."
